Source,Destination,Poids,Path
Ménilmontant,Père Lachaise,5336,Ménilmontant - Père Lachaise
Père Lachaise,Philippe Auguste,20503,Père Lachaise - Philippe Auguste
Père Lachaise,Rue Saint-Maur,6935,Père Lachaise - Rue Saint-Maur
Père Lachaise,Gambetta,20495,Père Lachaise - Gambetta
Philippe Auguste,Alexandre Dumas,21302,Philippe Auguste - Alexandre Dumas
Alexandre Dumas,Avron,22608,Alexandre Dumas - Avron
Pont de Levallois - Bécon,Anatole France,7323,Pont de Levallois - Bécon - Anatole France
Anatole France,Louise Michel,5117,Anatole France - Louise Michel
Louise Michel,Porte de Champerret,3867,Louise Michel - Porte de Champerret
Porte de Champerret,Pereire,3875,Porte de Champerret - Pereire
Pereire,Wagram,4711,Pereire - Wagram
Wagram,Malesherbes,6231,Wagram - Malesherbes
Europe,Saint-Lazare,11050,Europe - Saint-Lazare
Saint-Lazare,Havre - Caumartin,11755,Saint-Lazare - Havre - Caumartin
Saint-Lazare,Trinité - d'Estienne d'Orves,8584,Saint-Lazare - Trinité - d'Estienne d'Orves
Saint-Lazare,Madeleine,47607,Saint-Lazare - Madeleine
Saint-Lazare,Liège,20261,Saint-Lazare - Liège
Saint-Lazare,Miromesnil,17079,Saint-Lazare - Miromesnil
Saint-Lazare,Pont Cardinet,43084,Saint-Lazare - Pont Cardinet
Havre - Caumartin,Opéra,8926,Havre - Caumartin - Opéra
Havre - Caumartin,Saint-Augustin,1422,Havre - Caumartin - Saint-Augustin
Havre - Caumartin,Chaussée d'Antin - La Fayette,4761,Havre - Caumartin - Chaussée d'Antin - La Fayette
Opéra,Quatre-Septembre,5256,Opéra - Quatre-Septembre
Opéra,Chaussée d'Antin - La Fayette,11101,Opéra - Chaussée d'Antin - La Fayette
Opéra,Pyramides,10181,Opéra - Pyramides
Opéra,Madeleine,16477,Opéra - Madeleine
Opéra,Richelieu - Drouot,13221,Opéra - Richelieu - Drouot
Quatre-Septembre,Bourse,3365,Quatre-Septembre - Bourse
Bourse,Sentier,2350,Bourse - Sentier
Sentier,Réaumur - Sébastopol,2695,Sentier - Réaumur - Sébastopol
Réaumur - Sébastopol,Arts et Métiers,1632,Réaumur - Sébastopol - Arts et Métiers
Réaumur - Sébastopol,Strasbourg - Saint-Denis,8191,Réaumur - Sébastopol - Strasbourg - Saint-Denis
Réaumur - Sébastopol,Étienne Marcel,8686,Réaumur - Sébastopol - Étienne Marcel
Arts et Métiers,Temple,995,Arts et Métiers - Temple
Arts et Métiers,Rambuteau,18619,Arts et Métiers - Rambuteau
Arts et Métiers,République,17289,Arts et Métiers - République
Temple,République,494,Temple - République
République,Parmentier,9427,République - Parmentier
République,Jacques Bonsergent,11884,République - Jacques Bonsergent
République,Oberkampf,14047,République - Oberkampf
République,Strasbourg - Saint-Denis,9750,République - Strasbourg - Saint-Denis
République,Filles du Calvaire,2680,République - Filles du Calvaire
République,Goncourt,19088,République - Goncourt
Parmentier,Rue Saint-Maur,7620,Parmentier - Rue Saint-Maur
Gambetta,Porte de Bagnolet,1495,Gambetta - Porte de Bagnolet
Gambetta,Gallieni,1541,Gambetta - Gallieni
Gambetta,Pelleport,15619,Gambetta - Pelleport
Porte de Bagnolet,Gallieni,0,Porte de Bagnolet - Gallieni
Pelleport,Porte des Lilas,14754,Pelleport - Porte des Lilas
Porte des Lilas,Porte de Clignancourt,8935,Porte des Lilas - Porte de Clignancourt
Porte des Lilas,Télégraphe,12073,Porte des Lilas - Télégraphe
Porte des Lilas,Mairie des Lilas,8689,Porte des Lilas - Mairie des Lilas
Porte de Clignancourt,Simplon,8188,Porte de Clignancourt - Simplon
Simplon,Marcadet - Poissonniers,8533,Simplon - Marcadet - Poissonniers
